Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Slow low moan,Distress,
Indian Peafowl variant 1,Bird,Pavo cristatus,"Alarm call, harsh chips",Alarm/Alert,
Sandpiper,Bird,Scolopacidae sp.,"Mimicry, learned sounds",Curiosity/Exploration,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,"Roar, long call",Territorial/Aggressive,
Barn Owl,Bird,Tyto alba,"Mimicry, learned sounds",Curiosity/Exploration,
Red Panda,Mammal,Ailurus fulgens,Sniffing/grunting,Exploration/Foraging,
Indian Peafowl variant 1,Bird,Pavo cristatus,Wing-flap displays,Excitement/Display,when threatened
Eurasian Eagle-Owl,Bird,Bubo bubo,Wing-flap displays,Excitement/Display,
Indian Flying Fox,Mammal,Pteropus giganteus,Chittering,Playful,
Indian Leopard,Mammal,Panthera pardus fusca,"Bark, woof",Alert/Excited,
Rhesus Macaque,Mammal,Macaca mulatta,"Whine, whimper",Distress/Anxious,when threatened
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Huffing,Defensive,at dusk
Indian Rock Python variant 68,Reptile,Python molurus,Rattle (some species),Warning,
Tree Frog,Amphibian,Rhacophoridae sp.,Night chorus,Group Mating,
Snow Leopard,Mammal,Panthera uncia,"Trumpet, rumble",Alarm/Excited,in presence of human
Honey Bee,Insect,Apis cerana,Silent (still),Camouflage/Hide,
Musk Deer,Mammal,Moschus moschiferus,Loud bawl,Distress/Alarm,near nesting site
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Growl, snarl",Aggression,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,"Song, melodious trills",Courtship/Excited,
Asian Koel,Bird,Eudynamys scolopaceus,Purring or soft chatter,Affiliative/Relaxed,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Squeak, contact call",Contact/Neutral,
Asiatic Lion,Mammal,Panthera leo persica,"Squeak, contact call",Contact/Neutral,during foraging
Indian Hare variant 49,Mammal,Lepus nigricollis,"Roar, long call",Territorial/Aggressive,
Asian Koel,Bird,Eudynamys scolopaceus,Wing-flap displays,Excitement/Display,
Golden Eagle,Bird,Aquila chrysaetos,Fleeing chatter,Fear/Escape,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,Sniffing/grunting,Exploration/Foraging,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Whine, whimper",Distress/Anxious,
Pied Bushchat,Bird,Saxicola caprata,"Song, melodious trills",Courtship/Excited,when separated from group
Chital variant 41,Mammal,Axis axis,"Bark, woof",Alert/Excited,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Whine, whimper",Distress/Anxious,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,"Whine, whimper",Distress/Anxious,
Indian Flying Fox,Mammal,Pteropus giganteus,"Growl, snarl",Aggression,
Greater Coucal,Bird,Centropus sinensis,Wing-flap displays,Excitement/Display,during foraging
Saw-scaled Viper,Reptile,Echis carinatus,Silent (body-language),Neutral/Calm,
Leopard Cat,Mammal,Prionailurus bengalensis,Mating call (vocal),Courtship/Excited,
Arctic Fox,Mammal,Vulpes lagopus,"Purr, contented vocalization",Contentment/Relaxed,in presence of human
Walking Catfish,Fish,Clarias batrachus,Clicking (some),Courtship/Display,in presence of human
Plover variant 23,Bird,Charadriidae sp.,Wing-flap displays,Excitement/Display,
Guppy,Fish,Poecilia reticulata,Feeding rasp,Excitement,during foraging
Barn Owl,Bird,Tyto alba,"Song, melodious trills",Courtship/Excited,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,Chittering,Playful,
Garden Lizard,Reptile,Calotes versicolor,Rattle (some species) (variant),Warning,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,Loud bawl,Distress/Alarm,
Indian Vulture variant 28,Bird,Gyps indicus,Bill-clacking,Threat,when threatened
Hanuman Langur,Mammal,Semnopithecus entellus,"Trumpet, rumble",Alarm/Excited,
Koala,Mammal,Phascolarctos cinereus,Loud bawl,Distress/Alarm,during mating display
Sloth Bear,Mammal,Melursus ursinus,Hiss,Threat/Avoidance,
Catla,Fish,Catla catla,Bubble streams,Exploration/Foraging,
Wild Yak,Mammal,Bos grunniens,"Bark, woof",Alert/Excited,in presence of human
Indian Wolf,Mammal,Canis lupus pallipes,"Whine, whimper",Distress/Anxious,during mating display
Musk Deer,Mammal,Moschus moschiferus,"Trumpet, rumble",Alarm/Excited,when threatened
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Aggressive lunge sound,Aggression,in presence of human
Bald Eagle,Bird,Haliaeetus leucocephalus,"Chirp, cheep",Contact/Neutral,
Water Buffalo variant 55,Mammal,Bubalus bubalis,"Whine, whimper",Distress/Anxious,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,"Purr, contented vocalization",Contentment/Relaxed,
Indian Monitor Lizard,Reptile,Varanus bengalensis,Breathing sound,Relaxed,
Common Kingfisher variant 10,Bird,Alcedo atthis,"Mimicry, learned sounds",Curiosity/Exploration,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Mobbing calls,Group Alarm,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,"Alarm call, harsh chips",Alarm/Alert,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Bark, woof",Alert/Excited,
Plover,Bird,Charadriidae sp.,Mobbing calls,Group Alarm,
Greater Coucal,Bird,Centropus sinensis,Mobbing calls,Group Alarm,in presence of human
Indian Pond Heron,Bird,Ardeola grayii,Soft contact calls,Content/Comfort,
Gaur variant 39,Mammal,Bos gaurus,"Growl, snarl",Aggression,
Domestic Cat variant 59,Mammal,Felis catus,"Roar, long call",Territorial/Aggressive,
Sloth Bear,Mammal,Melursus ursinus,"Bark, woof",Alert/Excited,
Indian Rock Python,Reptile,Python molurus,Rattle (some species),Warning,near nesting site
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Growl, snarl",Aggression,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Fleeing chatter,Fear/Escape,
Pied Bushchat,Bird,Saxicola caprata,"Chirp, cheep",Contact/Neutral,during foraging
Bar-headed Goose,Bird,Anser indicus,Fleeing chatter,Fear/Escape,
Indian Roller variant 7,Bird,Coracias benghalensis,Soft contact calls,Content/Comfort,
Domestic Goat variant 56,Mammal,Capra hircus,"Roar, long call",Territorial/Aggressive,in presence of human
Gaur variant 39,Mammal,Bos gaurus,"Squeak, contact call",Contact/Neutral,at dawn
Guppy,Fish,Poecilia reticulata,Fleeing dash,Fear,
Bengal Tiger,Mammal,Panthera tigris tigris,"Whine, whimper",Distress/Anxious,
Polar Bear,Mammal,Ursus maritimus,Sniffing/grunting,Exploration/Foraging,during mating display
Dhole,Mammal,Cuon alpinus,Chittering,Playful,
Barn Owl,Bird,Tyto alba,Distress squeal,Distress/Separation,
Sambar Deer,Mammal,Rusa unicolor,"Squeak, contact call",Contact/Neutral,when separated from group
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Roar, long call",Territorial/Aggressive,
Tree Frog,Amphibian,Rhacophoridae sp.,Loud croak,Mating/Call,
Honey Bee,Insect,Apis cerana,Stridulation (chirp),Courtship/Display,when separated from group
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Bark, woof",Alert/Excited,
Tilapia,Fish,Oreochromis niloticus,Feeding rasp,Excitement,
Tree Frog,Amphibian,Rhacophoridae sp.,Rhythmic calls,Courtship,during foraging
Barasingha,Mammal,Rucervus duvaucelii,Sniffing/grunting,Exploration/Foraging,
Greater Coucal,Bird,Centropus sinensis,Purring or soft chatter,Affiliative/Relaxed,
Dhole,Mammal,Cuon alpinus,"Bark, woof",Alert/Excited,
Domestic Dog variant 58,Mammal,Canis familiaris,"Bark, woof",Alert/Excited,when threatened
Sloth Bear,Mammal,Melursus ursinus,Chittering,Playful,
Indian Peafowl variant 1,Bird,Pavo cristatus,Soft contact calls,Content/Comfort,
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Whine, whimper",Distress/Anxious,
Saltwater Crocodile,Reptile,Crocodylus porosus,Slow low moan,Distress,at dawn
Catla,Fish,Catla catla,Feeding rasp,Excitement,at dawn
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Growl, snarl",Aggression,
Indian Vulture variant 28,Bird,Gyps indicus,"Chirp, cheep",Contact/Neutral,when threatened
Black Drongo variant 12,Bird,Dicrurus macrocercus,"Song, melodious trills",Courtship/Excited,
Brahminy Kite,Bird,Haliastur indus,"Chirp, cheep",Contact/Neutral,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,Chittering,Playful,at dusk
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,Chittering,Playful,when separated from group
Gaur variant 39,Mammal,Bos gaurus,"Trumpet, rumble",Alarm/Excited,
Indian Wolf,Mammal,Canis lupus pallipes,Sniffing/grunting,Exploration/Foraging,during foraging
Asiatic Lion,Mammal,Panthera leo persica,"Bark, woof",Alert/Excited,
Sarus Crane,Bird,Grus antigone,Bill-clacking,Threat,
Russell's Viper variant 71,Reptile,Daboia russelii,Huffing,Defensive,
Saw-scaled Viper,Reptile,Echis carinatus,Vocal chirp (rare),Contact,
Gaur variant 39,Mammal,Bos gaurus,Loud bawl,Distress/Alarm,near water
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Whine, whimper",Distress/Anxious,
Woodpecker variant 18,Bird,Picidae sp.,Distress squeal,Distress/Separation,
Water Buffalo variant 55,Mammal,Bubalus bubalis,Mating call (vocal),Courtship/Excited,at dusk
King Cobra,Reptile,Ophiophagus hannah,Aggressive lunge sound,Aggression,during mating display
Indian Pangolin,Mammal,Manis crassicaudata,"Roar, long call",Territorial/Aggressive,at dawn
Golden Eagle,Bird,Aquila chrysaetos,Bill-clacking,Threat,
Rohu,Fish,Labeo rohita,Distress thrashing,Distress,
Bengal Fox,Mammal,Vulpes bengalensis,Mating call (vocal),Courtship/Excited,
Common Krait,Reptile,Bungarus caeruleus,Low growl-like hiss,Alarm/Alert,
Sambar Deer,Mammal,Rusa unicolor,"Whine, whimper",Distress/Anxious,during foraging
Sloth Bear variant 38,Mammal,Melursus ursinus,"Whine, whimper",Distress/Anxious,
Dhole,Mammal,Cuon alpinus,Loud bawl,Distress/Alarm,
House Crow variant 4,Bird,Corvus splendens,"Song, melodious trills",Courtship/Excited,
Green Bee-eater,Bird,Merops orientalis,Wing-flap displays,Excitement/Display,
Gaur,Mammal,Bos gaurus,Mating call (vocal),Courtship/Excited,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Mobbing calls,Group Alarm,
Nilgai,Mammal,Boselaphus tragocamelus,"Purr, contented vocalization",Contentment/Relaxed,
Jungle Owlet,Bird,Glaucidium radiatum,"Mimicry, learned sounds",Curiosity/Exploration,
Water Buffalo variant 55,Mammal,Bubalus bubalis,Sniffing/grunting,Exploration/Foraging,near water
Wild Boar,Mammal,Sus scrofa cristatus,Hiss,Threat/Avoidance,
Sambar Deer,Mammal,Rusa unicolor,"Growl, snarl",Aggression,during foraging
House Sparrow variant 0,Bird,Passer domesticus,Soft contact calls,Content/Comfort,
Star Tortoise variant 78,Reptile,Geochelone elegans,Huffing,Defensive,
Guppy,Fish,Poecilia reticulata,Clicking (some),Courtship/Display,when threatened
Indian Grey Mongoose,Mammal,Herpestes edwardsii,Chittering,Playful,
Snow Leopard,Mammal,Panthera uncia,"Roar, long call",Territorial/Aggressive,
Koala,Mammal,Phascolarctos cinereus,Sniffing/grunting,Exploration/Foraging,
Musk Deer,Mammal,Moschus moschiferus,"Bark, woof",Alert/Excited,
Dhole,Mammal,Cuon alpinus,"Roar, long call",Territorial/Aggressive,
Rhesus Macaque,Mammal,Macaca mulatta,"Roar, long call",Territorial/Aggressive,
Indian Pangolin,Mammal,Manis crassicaudata,"Squeak, contact call",Contact/Neutral,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Soft trills,Contact,
Ibis,Bird,Threskiornis sp.,"Song, melodious trills",Courtship/Excited,
Sandpiper,Bird,Scolopacidae sp.,Wing-flap displays,Excitement/Display,when separated from group
Arctic Fox,Mammal,Vulpes lagopus,"Growl, snarl",Aggression,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Clicking,Exploration,
Russell's Viper,Reptile,Daboia russelii,Jaw clack,Threat,
Bar-headed Goose variant 20,Bird,Anser indicus,"Chirp, cheep",Contact/Neutral,
Fantail,Bird,Rhipidura sp.,Fleeing chatter,Fear/Escape,during foraging
Common Toad,Amphibian,Duttaphrynus melanostictus,Rhythmic calls,Courtship,
Tree Frog,Amphibian,Rhacophoridae sp.,Distress calls,Distress,at dusk
Barn Owl,Bird,Tyto alba,"Chirp, cheep",Contact/Neutral,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,Chittering,Playful,
Sarus Crane,Bird,Grus antigone,Fleeing chatter,Fear/Escape,
Russell's Viper variant 71,Reptile,Daboia russelii,Low growl-like hiss,Alarm/Alert,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Roar, long call",Territorial/Aggressive,
Asiatic Lion variant 37,Mammal,Panthera leo persica,"Roar, long call",Territorial/Aggressive,
Walking Catfish,Fish,Clarias batrachus,Mating vibration,Courtship,
Sloth Bear variant 38,Mammal,Melursus ursinus,"Trumpet, rumble",Alarm/Excited,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,Hiss,Threat/Avoidance,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,Hiss,Threat/Avoidance,
Rhesus Macaque,Mammal,Macaca mulatta,"Squeak, contact call",Contact/Neutral,
Plover variant 23,Bird,Charadriidae sp.,Bill-clacking,Threat,
Wild Ass,Mammal,Equus hemionus,Loud bawl,Distress/Alarm,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Fleeing chatter,Fear/Escape,
Garden Lizard variant 76,Reptile,Calotes versicolor,Splash (aquatic),Startle/Escape,
Striped Hyena variant 66,Mammal,Hyaena hyaena,"Roar, long call",Territorial/Aggressive,during mating display
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,Sniffing/grunting,Exploration/Foraging,in presence of human
House Crow variant 4,Bird,Corvus splendens,Fleeing chatter,Fear/Escape,
House Sparrow variant 0,Bird,Passer domesticus,Purring or soft chatter,Affiliative/Relaxed,
Sambar Deer variant 40,Mammal,Rusa unicolor,"Squeak, contact call",Contact/Neutral,
Red Junglefowl variant 22,Bird,Gallus gallus,Purring or soft chatter,Affiliative/Relaxed,when threatened
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,Loud bawl,Distress/Alarm,when separated from group
Black Drongo variant 12,Bird,Dicrurus macrocercus,Fleeing chatter,Fear/Escape,at dusk
Rhesus Macaque variant 43,Mammal,Macaca mulatta,Loud bawl,Distress/Alarm,
Nilgai,Mammal,Boselaphus tragocamelus,"Trumpet, rumble",Alarm/Excited,
Golden Jackal,Mammal,Canis aureus,Chittering,Playful,
Garden Lizard,Reptile,Calotes versicolor,Rattle (some species),Warning,
Pied Bushchat,Bird,Saxicola caprata,Purring or soft chatter,Affiliative/Relaxed,
Spoonbill,Bird,Platalea leucorodia,Soft contact calls,Content/Comfort,
Common Krait variant 70,Reptile,Bungarus caeruleus,Rattle (some species),Warning,when threatened
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Jaw clack,Threat,
Striped Hyena,Mammal,Hyaena hyaena,Mating call (vocal),Courtship/Excited,at dawn
Sambar Deer variant 40,Mammal,Rusa unicolor,"Purr, contented vocalization",Contentment/Relaxed,
Giant Panda,Mammal,Ailuropoda melanoleuca,Chittering,Playful,
Chital variant 41,Mammal,Axis axis,"Growl, snarl",Aggression,when separated from group
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Growl, snarl",Aggression,
Striped Hyena,Mammal,Hyaena hyaena,Loud bawl,Distress/Alarm,
Sarus Crane,Bird,Grus antigone,Distress squeal,Distress/Separation,when threatened
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,"Song, melodious trills",Courtship/Excited,at dusk
Star Tortoise,Reptile,Geochelone elegans,Splash (aquatic),Startle/Escape,
Hilsa,Fish,Tenualosa ilisha,Grunting (some),Aggression,
Dragonfly,Insect,Odonata,Warning buzz,Threat,
House Sparrow variant 0,Bird,Passer domesticus,Fleeing chatter,Fear/Escape,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Trumpet, rumble",Alarm/Excited,
African Elephant,Mammal,Loxodonta africana,"Bark, woof",Alert/Excited,
Green Bee-eater,Bird,Merops orientalis,"Chirp, cheep",Contact/Neutral,
Tree Sparrow variant 25,Bird,Passer montanus,Fleeing chatter,Fear/Escape,
Chital variant 41,Mammal,Axis axis,Loud bawl,Distress/Alarm,
Great Indian Bustard,Bird,Ardeotis nigriceps,Bill-clacking,Threat,
Brahminy Kite,Bird,Haliastur indus,Aggressive scolding,Aggression/Defense,
King Cobra variant 69,Reptile,Ophiophagus hannah,Tongue-flick (non-vocal),Exploration,near nesting site
Musk Deer,Mammal,Moschus moschiferus,Chittering,Playful,when threatened
Indian Nightjar,Bird,Caprimulgus asiaticus,Soft contact calls,Content/Comfort,at dusk
Chital variant 41,Mammal,Axis axis,Mating call (vocal),Courtship/Excited,during mating display
Barn Owl,Bird,Tyto alba,Fleeing chatter,Fear/Escape,
Bar-headed Goose variant 20,Bird,Anser indicus,"Song, melodious trills",Courtship/Excited,in presence of human
Greater Coucal variant 17,Bird,Centropus sinensis,Mobbing calls,Group Alarm,
Mountain Goat,Mammal,Oreamnos americanus,Chittering,Playful,
Gharial,Reptile,Gavialis gangeticus,Rattle (some species),Warning,
Brahminy Starling,Bird,Sturnia pagodarum,"Song, melodious trills",Courtship/Excited,
Indian Rock Python variant 68,Reptile,Python molurus,Hiss,Threat/Defense,
Cattle Egret,Bird,Bubulcus ibis,Bill-clacking,Threat,
Asian Openbill,Bird,Anastomus oscitans,Wing-flap displays,Excitement/Display,when separated from group
Bonnet Macaque,Mammal,Macaca radiata,Loud bawl,Distress/Alarm,
Tree Frog,Amphibian,Rhacophoridae sp.,Clicking,Exploration,
Asian Openbill,Bird,Anastomus oscitans,Purring or soft chatter,Affiliative/Relaxed,when threatened
Woodpecker variant 18,Bird,Picidae sp.,Mobbing calls,Group Alarm,
Walking Catfish,Fish,Clarias batrachus,"Blub, gulp",Neutral/Contact,
Moorhen,Bird,Gallinula chloropus,Mobbing calls,Group Alarm,
Indian Roller variant 7,Bird,Coracias benghalensis,"Song, melodious trills",Courtship/Excited,when threatened
Bar-headed Goose,Bird,Anser indicus,Purring or soft chatter,Affiliative/Relaxed,
Moorhen,Bird,Gallinula chloropus,Bill-clacking,Threat,when threatened
Little Egret variant 31,Bird,Egretta garzetta,Bill-clacking,Threat,when threatened
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Soft contact calls,Content/Comfort,near nesting site
Hilsa,Fish,Tenualosa ilisha,Clicking (some),Courtship/Display,
Star Tortoise,Reptile,Geochelone elegans,Huffing,Defensive,
Moorhen variant 26,Bird,Gallinula chloropus,Wing-flap displays,Excitement/Display,
Common Myna,Bird,Acridotheres tristis,Distress squeal,Distress/Separation,
Mountain Goat,Mammal,Oreamnos americanus,"Purr, contented vocalization",Contentment/Relaxed,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Bark, woof",Alert/Excited,
Sloth Bear variant 38,Mammal,Melursus ursinus,"Squeak, contact call",Contact/Neutral,
Domestic Sheep,Mammal,Ovis aries,Sniffing/grunting,Exploration/Foraging,at dusk
Sloth Bear,Mammal,Melursus ursinus,"Purr, contented vocalization",Contentment/Relaxed,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Growl, snarl",Aggression,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Aggressive scolding,Aggression/Defense,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Low growl-like hiss,Alarm/Alert,
African Elephant,Mammal,Loxodonta africana,Hiss,Threat/Avoidance,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,"Bark, woof",Alert/Excited,
Sloth Bear variant 38,Mammal,Melursus ursinus,Hiss,Threat/Avoidance,in presence of human
Plover variant 23,Bird,Charadriidae sp.,"Alarm call, harsh chips",Alarm/Alert,at dusk
Pied Bushchat variant 21,Bird,Saxicola caprata,"Song, melodious trills",Courtship/Excited,
Bar-headed Goose variant 20,Bird,Anser indicus,Fleeing chatter,Fear/Escape,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,Sniffing/grunting,Exploration/Foraging,
Wild Yak,Mammal,Bos grunniens,Mating call (vocal),Courtship/Excited,
Black-headed Ibis,Bird,Threskiornis melanocephalus,Distress squeal,Distress/Separation,at dusk
Greater Coucal,Bird,Centropus sinensis,Aggressive scolding,Aggression/Defense,
Domestic Sheep variant 57,Mammal,Ovis aries,Chittering,Playful,
Saltwater Crocodile,Reptile,Crocodylus porosus,Rattle (some species),Warning,near nesting site
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Splash (aquatic),Startle/Escape,
Musk Deer,Mammal,Moschus moschiferus,"Roar, long call",Territorial/Aggressive,
Brahminy Kite variant 8,Bird,Haliastur indus,Soft contact calls,Content/Comfort,
Indian Pond Heron variant 9,Bird,Ardeola grayii,Purring or soft chatter,Affiliative/Relaxed,
Sambar Deer variant 40,Mammal,Rusa unicolor,Sniffing/grunting,Exploration/Foraging,
Sambar Deer,Mammal,Rusa unicolor,"Roar, long call",Territorial/Aggressive,
Barn Owl variant 14,Bird,Tyto alba,Bill-clacking,Threat,when separated from group
Indian Pangolin variant 48,Mammal,Manis crassicaudata,Sniffing/grunting,Exploration/Foraging,
Indian Grey Hornbill,Bird,Ocyceros birostris,Purring or soft chatter,Affiliative/Relaxed,
Sarus Crane,Bird,Grus antigone,"Alarm call, harsh chips",Alarm/Alert,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,"Squeak, contact call",Contact/Neutral,when threatened
Bengal Fox,Mammal,Vulpes bengalensis,Hiss,Threat/Avoidance,during mating display
Indian Elephant,Mammal,Elephas maximus indicus,"Whine, whimper",Distress/Anxious,
Golden Jackal,Mammal,Canis aureus,"Roar, long call",Territorial/Aggressive,
House Crow variant 4,Bird,Corvus splendens,"Mimicry, learned sounds",Curiosity/Exploration,
Water Buffalo,Mammal,Bubalus bubalis,"Whine, whimper",Distress/Anxious,
Domestic Sheep variant 57,Mammal,Ovis aries,"Squeak, contact call",Contact/Neutral,in presence of human
Sloth Bear variant 38,Mammal,Melursus ursinus,Mating call (vocal),Courtship/Excited,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Huffing,Defensive,when separated from group
